compile time(s),type,test_n,algorithm,simd,builtin,n,median,mean,max,min,p99,p95,p90,stddev,variance
0.507,uint8_t,4,bitonic,1,0,256,12.029157,12.059514,14.996960,11.396695,12.906199,12.521966,12.287706,0.082613,0.082290
0.502,uint8_t,4,bitonic,1,1,256,11.596439,11.630415,13.046586,11.121034,12.913147,12.017964,11.876286,0.065875,0.065617
0.5,uint8_t,4,bitonic,1,2,256,12.045528,12.043866,12.644150,11.290041,12.514752,12.333920,12.284281,0.036691,0.036548
0.507,uint8_t,4,bitonic,2,0,256,12.050535,12.084342,15.365219,11.598271,12.746557,12.421874,12.299687,0.088773,0.088427
0.499,uint8_t,4,bitonic,2,1,256,10.767266,10.794758,12.257908,10.566302,11.229175,11.047247,10.950306,0.025295,0.025196
0.518,uint8_t,4,bitonic,2,2,256,12.074944,12.097321,14.613628,11.703396,12.585704,12.407775,12.345778,0.061435,0.061195
0.497,uint8_t,4,oddeven,1,0,256,12.741355,12.749735,14.342013,12.088222,13.636456,13.157453,13.057464,0.078020,0.077715
0.514,uint8_t,4,oddeven,1,1,256,12.386837,12.380516,14.364807,11.776505,12.992604,12.738440,12.677361,0.066311,0.066051
0.489,uint8_t,4,oddeven,1,2,256,12.746562,12.750278,15.447306,11.778967,13.425052,13.210186,13.091010,0.126397,0.125904
0.506,uint8_t,4,oddeven,2,0,256,12.354630,12.356369,13.731561,11.759110,12.917353,12.745281,12.685514,0.069895,0.069622
0.509,uint8_t,4,oddeven,2,1,256,12.218700,12.227424,14.118536,11.369886,13.083192,12.718918,12.601430,0.103857,0.103452
0.499,uint8_t,4,oddeven,2,2,256,12.211117,12.225538,13.507881,11.313532,13.392739,12.716882,12.577456,0.091795,0.091436
0.496,uint8_t,4,batcher,1,0,256,11.566668,11.581762,13.352659,10.906923,12.321739,12.068872,11.954762,0.080205,0.079892
0.512,uint8_t,4,batcher,1,1,256,12.746854,12.731129,15.311117,11.929521,13.305722,13.146120,13.053279,0.099277,0.098889
0.49,uint8_t,4,batcher,1,2,256,12.710307,12.695852,13.561438,11.644218,13.306047,13.077781,13.008874,0.068879,0.068610
0.502,uint8_t,4,batcher,2,0,256,12.625289,12.626233,13.869760,12.056673,13.165389,13.040249,12.905074,0.057466,0.057242
0.51,uint8_t,4,batcher,2,1,256,12.669847,12.668675,13.214725,12.025572,13.184319,13.024542,12.941182,0.047130,0.046946
0.503,uint8_t,4,batcher,2,2,256,12.663285,12.663055,13.869851,11.940282,13.212358,13.020934,12.963678,0.062813,0.062568
0.501,uint8_t,4,balanced,1,0,256,12.013937,12.010137,13.508653,11.307207,12.866385,12.423905,12.354524,0.087494,0.087153
0.506,uint8_t,4,balanced,1,1,256,12.028707,12.042974,14.726107,11.487074,12.752193,12.351383,12.284188,0.076234,0.075936
0.514,uint8_t,4,balanced,1,2,256,12.030220,12.057234,13.288889,11.366488,13.097815,12.532539,12.388988,0.075871,0.075574
0.51,uint8_t,4,balanced,2,0,256,12.426992,12.424298,14.194469,11.792848,13.193464,12.819463,12.701692,0.077805,0.077501
0.487,uint8_t,4,balanced,2,1,256,11.087615,11.090645,12.850478,10.528189,11.493241,11.384027,11.322961,0.050324,0.050127
0.509,uint8_t,4,balanced,2,2,256,11.990836,12.020716,14.067525,11.200746,12.705558,12.525730,12.375744,0.104126,0.103719
0.491,uint8_t,4,bosenelson,1,0,256,12.662823,12.690565,15.758533,11.851974,14.951616,13.048018,12.981936,0.159349,0.158727
0.518,uint8_t,4,bosenelson,1,1,256,11.452048,11.504283,15.114586,10.927820,12.454778,11.967985,11.871744,0.125642,0.125151
0.487,uint8_t,4,bosenelson,1,2,256,12.596039,12.593942,13.401489,11.613845,13.155068,12.991629,12.900462,0.068536,0.068268
0.487,uint8_t,4,bosenelson,2,0,256,12.639055,12.634719,13.570415,11.923145,13.150430,12.985270,12.891891,0.047379,0.047194
0.507,uint8_t,4,bosenelson,2,1,256,10.958204,10.991211,13.058022,10.623493,11.671425,11.314989,11.198317,0.044798,0.044623
0.517,uint8_t,4,bosenelson,2,2,256,11.576738,11.590655,15.506758,10.882283,12.354020,12.044276,11.937411,0.134265,0.133740
0.528,uint8_t,5,bitonic,1,0,256,14.325585,14.356612,17.099513,13.742684,16.743225,14.788539,14.680288,0.174730,0.174048
0.525,uint8_t,5,bitonic,1,1,256,15.439282,15.436875,18.236185,14.382441,16.484564,15.961766,15.820476,0.145765,0.145196
0.52,uint8_t,5,bitonic,1,2,256,16.065333,16.036517,17.115475,14.641545,17.038009,16.639908,16.571236,0.180820,0.180113
0.528,uint8_t,5,bitonic,2,0,256,15.482371,15.497229,18.259565,14.602139,16.287336,15.895572,15.808488,0.107147,0.106728
0.504,uint8_t,5,bitonic,2,1,256,14.306745,14.313998,16.649670,13.542134,15.010345,14.740291,14.599986,0.083163,0.082838
0.523,uint8_t,5,bitonic,2,2,256,14.812764,14.795948,17.305214,13.942490,15.412671,15.229431,15.172523,0.105542,0.105130
0.502,uint8_t,5,oddeven,1,0,256,15.448323,15.449522,16.622313,14.623225,16.428240,15.884153,15.771017,0.086342,0.086005
